,2019.0,2020.0,2021.0,2022.0,2023.0
24,0.025148072294471514,0.0230392376719816,0.010282945953043474,0.00796027950202369,0.008297734960411933
coverage,0.02459770488241733,0.022873079505669892,0.009890767391444646,0.005918889118615741,0.01018827270408801
skin,0.023898497516202658,0.02121983033518276,0.014977079872650213,0.015270612781000514,0.0172641656091586
fashion,0.02179034061920145,0.019809074416268647,0.010594256906836148,0.007818889308942319,0.007285334504297841
lace,0.020965022786269664,0.01972109649236676,0.006663936354107523,0.0034958059170799288,0.008597188783556933
1242,0.020958255865860222,0.019038810915514882,0.008557548093267886,0.005805745895430837,0.006609710833920449
white,0.018515816992663622,0.017441198787864272,0.041460729323030625,0.049246489343308636,0.03891373511667426
figure,0.01824821736219014,0.01620694625288678,0.008152211686648135,0.0067370837495521856,0.007034753589655182
briefs,0.01820849515619618,0.016927495957553523,0.04163145538209777,0.04324620380935712,0.023744010544729934
sp08,0.017602734169672448,0.016576631990931685,0.007850418768349687,0.005258614624599475,0.00563519270025888
men,0.017118387870269352,0.02424212325419882,0.0947286186997454,0.08595242976547239,0.07437427403809009
bcmw11,0.017087153832703962,0.015691523412600782,0.006630693878359172,0.0050266691514081465,0.0065790539759224284
assorted,0.017020900587867493,0.015871975911450262,0.007116502659808201,0.005168797440505966,0.006547980334847677
balconette,0.015734334346623736,0.014524484359937443,0.006527827667526054,0.005107654023541765,0.005699517583172806
vest,0.014972325878006225,0.014819884612500209,0.024198192076361563,0.022585076076085002,0.009423629764697315
charcoal,0.014484016417254237,0.01416360610406061,0.015306649470769153,0.012677965587864324,0.013056701957599212
padded,0.014243329055886203,0.013088130184255755,0.005403948236051412,0.0035715647895878913,0.005186479276393906
sports,0.01423882916844306,0.013221067533467952,0.005717330035998717,0.004137176844268139,0.005514801538311655
camisole,0.013732943166547567,0.012756459826743012,0.003184629374297683,0.0027982310912405025,0.008000695950907025
1615,0.013222127335854962,0.012003261665526038,0.00542499580757134,0.004258726960136957,0.004787120910399509
wired,0.01291180881567731,0.011579767873700617,0.008071395496838192,0.008830174685523986,0.009415080712012731
rose,0.01290233661202093,0.01214703806403936,0.000587773071557291,-0.001741113176688722,0.013925974490859274
innerwear,0.012701632281122944,0.012659540408807674,0.02811425264160079,0.027506683138723207,0.01245394663226207
